group,pair_id,left_index,right_index,left_identity,right_identity,pca_distance_score,logistic_regression_score,linear_svm_score,rbf_svm_score,pca_distance_accepted,logistic_regression_accepted,linear_svm_accepted,rbf_svm_accepted
ordinary,37,207,368,21,37,-19.918620550518515,-0.007444595478069199,-0.03711761547465748,-0.006788196972686859,0,0,0,0
ordinary,38,199,365,20,37,-21.9003475284732,-0.0022679232308387884,-0.02675154711850269,-0.005190698897326987,0,0,0,0
ordinary,39,362,379,37,38,-21.133902218477374,-0.015768556894113217,-0.05429608243307217,-0.009806945990332123,0,0,0,0
ordinary,40,35,195,4,20,-19.048779709653296,-0.015318023326373296,-0.05353195051677813,-0.009808254823794228,0,0,0,0
ordinary,41,165,376,17,38,-15.694639737231384,-0.0019671408422899596,-0.026164924985608722,-0.004963520791394879,0,0,0,0
ordinary,42,363,370,37,38,-23.518227649571475,-0.014356854765819979,-0.05150170761100456,-0.009458922713403864,0,0,0,0
ordinary,43,37,362,4,37,-18.02278815090648,-0.004960757095588381,-0.032553501697450915,-0.006218850423066854,0,0,0,0
ordinary,44,88,274,9,28,-20.311003630948736,-0.009942895816613756,-0.042704104991027995,-0.007904568374559957,0,0,0,0
ordinary,45,200,374,21,38,-11.874045135476504,0.017781453056146992,0.01433837566645698,0.00255561049701699,0,0,0,0
ordinary,46,164,207,17,21,-17.379670002113578,0.0006271852657001164,-0.020532419679662295,-0.0037403509284843987,0,0,0,0
ordinary,47,169,201,17,21,-16.970480103072642,-0.001098327909130985,-0.024186994989752488,-0.004496309412499403,0,0,0,0
ordinary,48,163,202,17,21,-15.0474069117381,0.0272293228302579,0.033665849788728615,0.005600966601519711,0,0,0,0
ordinary,49,160,199,17,20,-19.521659666519184,-0.01533533974938335,-0.05372094052020905,-0.009882535629072715,0,0,0,0
ordinary,50,30,205,4,21,-14.472978291673009,0.015494291738782123,0.00948370984341422,0.0013207431099495452,0,0,0,0
ordinary,51,209,363,21,37,-20.951996113866954,0.0025547872574311673,-0.01681966901521945,-0.0034834859723223126,0,0,0,0
ordinary,52,197,270,20,28,-24.558969156787693,-0.019974278857039823,-0.06317506620177396,-0.011534173151280951,0,0,0,0
ordinary,53,33,277,4,28,-17.270179936874367,0.0026200446747903336,-0.0168850398545202,-0.0033282279727513495,0,0,0,0
ordinary,54,166,203,17,21,-14.6807036129892,0.007290801522548838,-0.007081374347024657,-0.0014504594267283188,0,0,0,0
ordinary,55,38,206,4,21,-14.553592076483719,-0.004202505352212219,-0.030924977926946512,-0.005652851049790189,0,0,0,0
ordinary,56,85,192,9,20,-15.951996686571032,-0.0061909421713833256,-0.03477565733954365,-0.006535536991673316,0,0,0,0
ordinary,57,88,193,9,20,-15.222787975557889,-0.0018154422535228518,-0.026205063090354568,-0.00508383601031358,0,0,0,0
ordinary,58,163,364,17,37,-18.43959571297386,0.012737868816426957,0.00420471673592995,0.0006167749537463654,0,0,0,0
ordinary,59,365,374,37,38,-21.570883896904135,-0.010219417642454601,-0.043009042305993506,-0.007884086105035517,0,0,0,0
ordinary,60,201,360,21,37,-20.077319304994383,-0.015146570272889324,-0.0530055819444569,-0.009624746311642724,0,0,0,0
ordinary,61,35,205,4,21,-16.878102435804003,0.006005582148265916,-0.009644607362897753,-0.0019147291165133775,0,0,0,0
ordinary,62,165,197,17,20,-13.921417077228714,-0.0010806159906160894,-0.024539754573722608,-0.004671438509051702,0,0,0,0
ordinary,63,166,378,17,38,-16.6891914920519,0.0003977735761717036,-0.021601425853691042,-0.004197981630284991,0,0,0,0
ordinary,64,165,369,17,37,-23.32787546009773,-0.03895985317951598,-0.10211010471065428,-0.018287865292224703,0,0,0,0
ordinary,65,272,370,28,38,-20.748064153544146,-0.010812219709908344,-0.044134958827081155,-0.008160225961604439,0,0,0,0
ordinary,66,163,278,17,28,-14.93269796903929,0.015769436392673246,0.010184933813802352,0.0015801125583507093,0,0,0,0
ordinary,67,204,272,21,28,-19.797582938076943,-0.0032113903920982074,-0.02868019266895361,-0.0055234716008193754,0,0,0,0
ordinary,68,203,367,21,37,-17.51042947680794,0.008674144887298344,-0.0039029399283567606,-0.0009680884812848407,0,0,0,0
ordinary,69,84,192,9,20,-15.199785780233887,0.004494555575980523,-0.012905172568703807,-0.0028250375137496946,0,0,0,0
ordinary,70,88,364,9,37,-21.595150304505495,-0.006222950464562677,-0.034954544200152066,-0.00645401822411171,0,0,0,0
ordinary,71,30,367,4,37,-17.025878382975232,-0.0033766534719295144,-0.029299585400248136,-0.005626845620038058,0,0,0,0
ordinary,72,201,365,21,37,-18.842699877821882,0.0018009357752277872,-0.018256135600001985,-0.003464312364943512,0,0,0,0
ordinary,73,160,192,17,20,-18.64408141136697,-0.009898822572757308,-0.042732916461426504,-0.007947105515157777,0,0,0,0
ordinary,74,30,377,4,38,-14.022798821424114,0.022228501628309253,0.023166967886114755,0.003758616705669359,0,0,0,0
ordinary,75,195,276,20,28,-19.39144986447063,-0.001885685060938807,-0.02628896022733934,-0.005149322369741672,0,0,0,0
ordinary,76,164,367,17,37,-16.635242168675383,-0.001706352774001609,-0.02548117166608029,-0.004738257637890468,0,0,0,0
ordinary,77,160,206,17,21,-16.437226172724642,-0.005124795682420127,-0.032448172995999155,-0.005925772193722226,0,0,0,0
ordinary,78,30,277,4,28,-19.318610220952433,-0.009941563142755652,-0.04310235453762281,-0.008172956219464662,0,0,0,0
ordinary,79,209,371,21,38,-13.0733730343383,0.01228135088195784,0.003045801266211408,0.0003341118251216739,0,0,0,0
ordinary,80,162,209,17,21,-14.387652283779062,0.00856957305852487,-0.004632508080609672,-0.001287113788137402,0,0,0,0
ordinary,81,36,367,4,37,-18.473080495380707,-0.0023716067059776076,-0.027117045096457494,-0.005222369892999676,0,0,0,0
ordinary,82,164,192,17,20,-18.212305800081506,-0.00771183049110383,-0.0381682535163827,-0.007116023715821515,0,0,0,0
ordinary,83,83,368,9,37,-18.769050999396654,-0.01740217960444336,-0.05771547366041291,-0.010436544834420209,0,0,0,0
ordinary,84,192,274,20,28,-20.77577554071382,-0.01803933766069123,-0.059211912053369925,-0.010864252585918516,0,0,0,0
ordinary,85,88,196,9,20,-13.7626437783656,0.0011378385221733854,-0.020077016419184572,-0.0039350065022537815,0,0,0,0
ordinary,86,167,272,17,28,-24.879188197438292,-0.03698065179965192,-0.09816609333994518,-0.017603969305864914,0,0,0,0
ordinary,87,37,274,4,28,-16.012370987456734,-0.002438217254154863,-0.027635089137177014,-0.005376869948954208,0,0,0,0
ordinary,88,31,365,4,37,-18.473209981464986,-0.010413369265842035,-0.04389867529409134,-0.00826571213502128,0,0,0,0
ordinary,89,166,192,17,20,-17.784300647300803,-0.021411619461743716,-0.06629896050915987,-0.012057038512335088,0,0,0,0
ordinary,90,82,274,9,28,-18.46013077822539,-0.009611649316501132,-0.04224137233163869,-0.007963674553661631,0,0,0,0
ordinary,91,39,379,4,38,-16.17652747027672,-0.0062966397939163135,-0.03479978944484358,-0.006253765733462406,0,0,0,0
ordinary,92,195,364,20,37,-20.769498303965293,-0.0020270849225926583,-0.02683862400616226,-0.005363751233595383,0,0,0,0
ordinary,93,81,272,9,28,-19.552002663118937,-0.01426954046354294,-0.05192410055500105,-0.00967415285120583,0,0,0,0
ordinary,94,32,195,4,20,-16.024024023757296,-0.0021920723951981145,-0.02664367405447005,-0.004893749442861956,0,0,0,0
ordinary,95,163,205,17,21,-14.013224687482575,0.01535680162257539,0.009130834961856661,0.0010516287461934792,0,0,0,0
ordinary,96,271,377,28,38,-21.023839737670183,-0.018410108408919757,-0.06014336905147787,-0.011001865205601376,0,0,0,0
ordinary,97,200,370,21,38,-13.806639683431744,0.007508482010058348,-0.006255720264899463,-0.0010321671803540447,0,0,0,0
ordinary,98,81,360,9,37,-19.624112108246404,-0.015595808620619949,-0.05459148565988528,-0.010093019127198415,0,0,0,0
ordinary,99,32,199,4,20,-17.053289852832318,0.003036171864890034,-0.015962268099617778,-0.0031247157529720043,0,0,0,0
ordinary,100,168,371,17,38,-16.137186553460804,-0.0008843869009993067,-0.02397620403304348,-0.004447005706972514,0,0,0,0
ordinary,101,208,278,21,28,-17.394672057599166,0.0079828005000782,-0.005707334387705123,-0.0013770528899701671,0,0,0,0
ordinary,102,198,377,20,38,-12.665895172675897,0.013855414049444202,0.00610516947904962,0.0008916765440653909,0,0,0,0
ordinary,103,32,364,4,37,-16.92367413988156,-0.007416954642483643,-0.037496300898514745,-0.006889075198254055,0,0,0,0
ordinary,104,32,272,4,28,-16.517989270101626,0.003960165017007246,-0.01452770084770271,-0.003200320392532617,0,0,0,0
ordinary,105,279,372,28,38,-20.259257233193004,-0.013776817466661453,-0.0504412041745467,-0.00923333372677932,0,0,0,0
ordinary,106,163,370,17,38,-12.515280014247603,0.006591644549714897,-0.008426239618078197,-0.0015402466964437502,0,0,0,0
ordinary,107,191,277,20,28,-23.020184164411877,-0.015801522378634126,-0.054569194903276434,-0.010022615819631705,0,0,0,0
ordinary,108,84,196,9,20,-12.402613545252201,0.012932729263579131,0.004232419648710208,0.000354042095221949,0,0,0,0
ordinary,109,32,373,4,38,-12.599503148837588,0.0306319523572037,0.040453445455049614,0.006839779351951163,0,0,0,0
ordinary,110,35,374,4,38,-17.87639077352902,-0.014478815878599994,-0.05172080228920303,-0.009313009154191244,0,0,0,0
ordinary,111,33,367,4,37,-18.76827766805087,-0.0011664452523622003,-0.02454348535305719,-0.00471086249807076,0,0,0,0
ordinary,112,84,277,9,28,-18.72685747088716,-0.0025915404702420712,-0.02758763645242728,-0.005201968703561179,0,0,0,0
ordinary,113,367,378,37,38,-20.21783120330329,-0.016820482819250686,-0.05618746280119512,-0.010081716327084867,0,0,0,0
ordinary,114,37,192,4,20,-15.342318331285544,0.006270453117251736,-0.009182884297988537,-0.0016998794742945252,0,0,0,0
ordinary,115,34,361,4,37,-20.90119913444372,-0.01749012025827758,-0.05785368259362832,-0.010472858506069431,0,0,0,0
ordinary,116,83,270,9,28,-20.229752780299076,-0.01954826910863439,-0.06222978018328112,-0.011276071373188912,0,0,0,0
ordinary,117,34,370,4,38,-17.583349694805374,-0.019440216110967065,-0.0616641920147394,-0.01102271221093851,0,0,0,0
ordinary,118,35,360,4,37,-17.42759998480202,-0.017035884108133947,-0.057007902251549794,-0.010311756592286229,0,0,0,0
ordinary,119,38,194,4,20,-12.368664310788718,0.0163631905808921,0.01132256315417255,0.001980476842831631,0,0,0,0
ordinary,120,30,368,4,37,-17.668162949773333,0.001764262308029768,-0.01884209941107371,-0.0038669898184741647,0,0,0,0
ordinary,121,169,376,17,38,-17.603793023692997,-0.007017619484988075,-0.036650643863494245,-0.006894713390965726,0,0,0,0
ordinary,122,203,366,21,37,-17.776951392755798,-0.0013978901900664523,-0.024873868678326784,-0.004621267664732481,0,0,0,0
ordinary,123,37,272,4,28,-17.037214076035223,-0.0007828642449387113,-0.024245367320290104,-0.00491546122786072,0,0,0,0
ordinary,124,194,278,20,28,-17.18257286078671,0.0008184692346878415,-0.020585016828868506,-0.004087910580442007,0,0,0,0
ordinary,125,193,367,20,37,-19.281724062885047,0.006428201419224176,-0.009333195911876839,-0.0023513496072575593,0,0,0,0
ordinary,126,83,277,9,28,-19.10087722608966,-0.014366491133984628,-0.05161057844044935,-0.009448549037212579,0,0,0,0
ordinary,127,38,278,4,28,-14.200029172279395,0.014018927451359464,0.005985876606837658,0.0005970543453936127,0,0,0,0
ordinary,128,197,376,20,38,-12.552258917180795,0.02018921270286136,0.019132762173274753,0.0034243220209207517,0,0,0,0
ordinary,129,201,278,21,28,-18.54680588869971,0.0019395627067481179,-0.017992027406490058,-0.003475280314021995,0,0,0,0
ordinary,130,82,276,9,28,-18.669976583519706,-0.018393459666492643,-0.05993512133679514,-0.010968372419791433,0,0,0,0
ordinary,131,190,272,20,28,-23.00188087875033,-0.02308419808801648,-0.06955352420237704,-0.012652790828846655,0,0,0,0
ordinary,132,161,200,17,21,-15.343630662815734,0.012331039004211446,0.0036488613962335804,0.0007437249658786872,0,0,0,0
ordinary,133,167,273,17,28,-20.267248946395576,-0.0033991634547019564,-0.029258319066680555,-0.005508766103516083,0,0,0,0
ordinary,134,197,276,20,28,-23.03495110251401,-0.017221023049136145,-0.05766930488791823,-0.010614844192647072,0,0,0,0
ordinary,135,200,372,21,38,-13.224623997040991,0.013229960265383284,0.005135690633309275,0.0009108628988250614,0,0,0,0
ordinary,136,31,271,4,28,-14.980753133841237,0.007685813357731283,-0.006650008536550206,-0.0016900213006273892,0,0,0,0
ordinary,137,33,206,4,21,-14.597019009309472,-0.0031043222061302284,-0.028383060135176292,-0.005110031277694933,0,0,0,0
ordinary,138,198,361,20,37,-24.702002025192158,-0.0098019663713623,-0.042124630177740846,-0.0078380677579864,0,0,0,0
ordinary,139,165,196,17,20,-13.82097606336117,-0.003462290844240295,-0.029353666291830817,-0.00554866454712039,0,0,0,0
ordinary,140,33,379,4,38,-15.66859205570917,-0.010357608086144483,-0.04296161050181467,-0.0076462949664673876,0,0,0,0
ordinary,141,83,271,9,28,-18.443353723542838,-0.012167574123004066,-0.04713428084357564,-0.008578789852200047,0,0,0,0
ordinary,142,208,270,21,28,-19.978764591956462,-0.0071060130302180126,-0.03669763945209605,-0.006932846393226243,0,0,0,0
ordinary,143,87,360,9,37,-18.968399214866725,-0.0025288848026273564,-0.02731067353213923,-0.005167968214581252,0,0,0,0
ordinary,144,161,278,17,28,-12.683280654629762,0.030427860057331963,0.04043670682340296,0.006992244178509591,0,0,0,0
ordinary,145,37,374,4,38,-14.783769671704952,0.005293722313381001,-0.011463742671438232,-0.0022005246268107168,0,0,0,0
ordinary,146,277,373,28,38,-19.251494229249765,-0.009930237272443002,-0.042423841636744244,-0.007752441529171758,0,0,0,0
ordinary,147,164,278,17,28,-11.631125764508793,0.030725786681358298,0.04097455967740954,0.007140994062087486,0,0,0,0
ordinary,148,160,208,17,21,-16.487230217595506,0.01128189183808934,0.0009798799652565304,-0.00021815013272841362,0,0,0,0
ordinary,149,168,363,17,37,-23.615007743213198,-0.012178085673568411,-0.04671285599816208,-0.008494485237679062,0,0,0,0
ordinary,150,270,370,28,38,-22.153096996364493,-0.014086770089603523,-0.05100921190620021,-0.009421311902456292,0,0,0,0
ordinary,151,163,376,17,38,-10.595197571523558,0.021996571324899232,0.023330271355510968,0.004094116707727229,0,0,0,0
ordinary,152,86,192,9,20,-16.28268396903043,-0.006967058496840719,-0.036487359076977074,-0.006842773316264273,0,0,0,0
ordinary,153,202,276,21,28,-19.870165760915448,-0.001976958330880581,-0.026357508586644034,-0.005021750492971564,0,0,0,0
ordinary,154,361,375,37,38,-23.91885647705198,-0.0133684595065053,-0.049195782981283714,-0.008942113128352651,0,0,0,0
ordinary,155,36,379,4,38,-15.231508616017472,-0.00895314551753219,-0.04034306283702595,-0.007292102320636702,0,0,0,0
ordinary,156,206,360,21,37,-19.168457939229093,-0.015759908166786917,-0.05420447772346203,-0.009830343708800123,0,0,0,0
ordinary,157,164,194,17,20,-12.231158860441392,0.012868959970399056,0.004173439233796858,0.0004795826295190403,0,0,0,0
ordinary,158,31,378,4,38,-15.712042507822881,-0.015310198506460586,-0.053817667123177454,-0.009891570730156209,0,0,0,0
ordinary,159,206,272,21,28,-20.24793334569429,-0.018452504405133522,-0.05993496254443604,-0.010907762059948454,0,0,0,0
ordinary,160,168,272,17,28,-25.296212314487235,-0.04199365522926464,-0.10853871810495948,-0.019196001959876266,0,0,0,0
ordinary,161,169,205,17,21,-15.520436580144699,8.336849959928479e-05,-0.02191683224637586,-0.004202798308170982,0,0,0,0
ordinary,162,38,368,4,37,-18.201751808585982,-0.005375437360805779,-0.03340933335246128,-0.006428224407905207,0,0,0,0
ordinary,163,361,376,37,38,-21.40369318764968,-0.010821498512191557,-0.044141191932932165,-0.008103046037508426,0,0,0,0
ordinary,164,362,371,37,38,-21.98189238679137,-0.021768654527521445,-0.06674698932949939,-0.012068333173789412,0,0,0,0
ordinary,165,196,271,20,28,-20.05919775212175,-0.009793654567349163,-0.042404751441113,-0.007931557739059267,0,0,0,0
ordinary,166,191,368,20,37,-23.522274409541957,-0.016388825802914515,-0.05572705046201188,-0.010163685188280553,0,0,0,0
ordinary,167,85,270,9,28,-20.822488357533583,-0.014647503161181998,-0.05219666390738036,-0.009578118170749612,0,0,0,0
ordinary,168,194,274,20,28,-20.065862565191253,-0.022719713830820717,-0.0689976025318112,-0.012569059824101819,0,0,0,0
ordinary,169,32,277,4,28,-18.477669769135325,-0.008778653345909198,-0.04064324576949824,-0.00771931747098567,0,0,0,0
ordinary,170,209,365,21,37,-19.75978190559736,-6.556124592799262e-05,-0.022144729122513168,-0.004192345444678825,0,0,0,0
ordinary,171,362,377,37,38,-22.608848162327103,-0.02231393384439802,-0.06791475337248606,-0.012297266946215454,0,0,0,0
ordinary,172,208,360,21,37,-18.287422305822524,0.0015254392985398714,-0.01890932000079635,-0.0036912275316287567,0,0,0,0
ordinary,173,161,279,17,28,-21.63477410261587,-0.019747484491159494,-0.0628744560472719,-0.0115366202860271,0,0,0,0
ordinary,174,164,368,17,37,-17.71306364391368,-0.013470949213578508,-0.04978111497062869,-0.009118932866914363,0,0,0,0
ordinary,175,83,361,9,37,-21.198492905165388,-0.018249668814073198,-0.05954614532860085,-0.010785089105333124,0,0,0,0
ordinary,176,32,368,4,37,-16.731074734934815,-0.0025312923295465707,-0.027507985252877617,-0.005212777018607826,0,0,0,0
ordinary,177,161,201,17,21,-18.64142800471351,-0.0036115680797457724,-0.029271960033183844,-0.005406544970695903,0,0,0,0
ordinary,178,197,379,20,38,-13.009707661128012,0.01625840756090034,0.011146186701457339,0.001861686629156832,0,0,0,0
ordinary,179,38,190,4,20,-14.203687739796512,0.01605528656705842,0.010951913326702457,0.0018484945759776467,0,0,0,0
ordinary,180,167,379,17,38,-14.454118028672164,0.010553202797961741,1.381954701198257e-06,9.702456738826769e-05,0,0,0,0
ordinary,181,199,270,20,28,-23.820233860723768,-0.0235985874077616,-0.07062334703461341,-0.012878628149528334,0,0,0,0
ordinary,182,199,275,20,28,-22.834808068715418,-0.020850943352074047,-0.06521738274860739,-0.01197641333556119,0,0,0,0
ordinary,183,193,276,20,28,-18.82568803336717,-0.0005352304901485004,-0.02357007891827365,-0.004614377200691739,0,0,0,0
ordinary,184,88,273,9,28,-20.343671617651967,-0.013148485985072764,-0.04966922778239287,-0.009225988674271449,0,0,0,0
ordinary,185,205,367,21,37,-17.92827315155744,0.007371371906034077,-0.006899987609505338,-0.001600998103068272,0,0,0,0
ordinary,186,164,362,17,37,-18.92761856828016,-0.01777488164964858,-0.05866830925814612,-0.010698035233943725,0,0,0,0
ordinary,187,88,279,9,28,-22.3699332874881,-0.011452311841875033,-0.04607713888922117,-0.008641162906413235,0,0,0,0
ordinary,188,162,374,17,38,-11.87934873008401,0.016144635482753484,0.011352989803596135,0.0020400505462029664,0,0,0,0
ordinary,189,165,202,17,21,-16.919725759518858,0.005863424072573251,-0.010000397482842703,-0.0020459063412282194,0,0,0,0
ordinary,190,168,365,17,37,-23.11091531382329,-0.017241785139457004,-0.05736526647797371,-0.010427445385647131,0,0,0,0
ordinary,191,89,276,9,28,-19.773760334495055,-0.019788374183304962,-0.06285341647312104,-0.011450154577824324,0,0,0,0
ordinary,192,86,368,9,37,-19.936177212986898,-0.01287007011923708,-0.04827175943460599,-0.008800495416897345,0,0,0,0
ordinary,193,190,375,20,38,-15.024286277531933,-0.00802101820129926,-0.03850493104056072,-0.007050961092348719,0,0,0,0
ordinary,194,193,373,20,38,-13.111188578281642,0.014210880271862797,0.006617773445751429,0.0006363026882757698,0,0,0,0
ordinary,195,360,377,37,38,-21.758259377005807,-0.017169833697831524,-0.057462252437253544,-0.010511986514814442,0,0,0,0
ordinary,196,193,371,20,38,-14.589147745940467,0.005314108862219047,-0.01179968236061656,-0.0026678968522505613,0,0,0,0
ordinary,197,36,377,4,38,-13.467903710435126,0.00960798619657929,-0.0024673361318086964,-0.0006010218642678467,0,0,0,0
ordinary,198,83,191,9,20,-16.20187709340187,-0.01755876502619799,-0.05805454504095243,-0.010579751973809287,0,0,0,0
ordinary,199,199,371,20,38,-13.17677401035651,0.019933043057271272,0.018599285485261075,0.0028913379372442413,0,0,0,0
ordinary,200,198,369,20,37,-21.590098887698282,-0.014182734453523804,-0.05107565665474053,-0.00927966782079828,0,0,0,0
ordinary,201,164,271,17,28,-13.739081026389432,0.014494884933720689,0.007642807246793656,0.001162835208499205,0,0,0,0
ordinary,202,275,371,28,38,-21.071444146559944,-0.012315547957753165,-0.0475754951153168,-0.008834212160721968,0,0,0,0
ordinary,203,37,190,4,20,-16.821461490223413,-0.002675650833215333,-0.027701983706746716,-0.0051487313907243705,0,0,0,0
ordinary,204,364,375,37,38,-23.281325646713643,-0.008295326681664144,-0.03880936337498954,-0.007127907898963527,0,0,0,0
ordinary,205,89,270,9,28,-21.831434932929792,-0.025154471738543266,-0.07393686321722069,-0.013363722962733096,0,0,0,0
ordinary,206,38,191,4,20,-14.728901314810843,0.018719251211730875,0.016510617527448673,0.0027684187572276538,0,0,0,0
ordinary,207,275,372,28,38,-20.396637129617144,-0.024092122835925996,-0.0718037650535935,-0.012999976050455532,0,0,0,0
ordinary,208,38,197,4,20,-15.025452094085614,0.016378486284126845,0.010969117395744063,0.0014893986820170724,0,0,0,0
ordinary,209,36,208,4,21,-14.219538755088326,0.020888474595858728,0.020684532299628945,0.003517530229405902,0,0,0,0
ordinary,210,197,272,20,28,-23.81793465899741,-0.022048996630656775,-0.06731368630079002,-0.012202911776239188,0,0,0,0
ordinary,211,164,196,17,20,-13.899939900648182,0.00825385408752493,-0.005344742879220925,-0.001190650411230577,0,0,0,0
ordinary,212,194,277,20,28,-18.966812859706653,-0.026805881723529983,-0.07723786857535983,-0.013979628385368006,0,0,0,0
ordinary,213,202,273,21,28,-18.699832222647768,-0.005538437842366214,-0.033517351048172606,-0.006276448498846714,0,0,0,0
ordinary,214,191,275,20,28,-23.238931383301058,-0.01745669836331769,-0.05828016596964595,-0.010764117542633449,0,0,0,0
ordinary,215,160,275,17,28,-18.834976557794025,-0.013179145376231084,-0.04952236480151329,-0.009267685344577892,0,0,0,0
ordinary,216,196,273,20,28,-21.527324438746064,-0.02758422034290365,-0.07886504917751413,-0.014252529041597711,0,0,0,0
ordinary,217,87,278,9,28,-18.267320005302267,-0.006975431743017304,-0.03665578284804072,-0.006837464362256795,0,0,0,0
ordinary,218,165,275,17,28,-24.571620460805878,-0.04401259596653026,-0.11271283940663442,-0.02003813578054421,0,0,0,0
ordinary,219,166,366,17,37,-23.259786037291246,-0.034840703346566554,-0.09391699303065003,-0.016822940275544658,0,0,0,0
ordinary,220,207,377,21,38,-14.121849496560927,0.004127196428962873,-0.013879667325700817,-0.002642424121937076,0,0,0,0
ordinary,221,86,366,9,37,-20.538228076305497,-0.01198605423004706,-0.046728394209292506,-0.008695716114052303,0,0,0,0
ordinary,222,200,365,21,37,-18.428291848585697,0.012455388165738992,0.0033855405662485266,0.00035679384261147473,0,0,0,0
