pair_id,left_index,right_index,left_path,right_path,left_identity,right_identity,target
45,112,354,s12/3.pgm,s36/5.pgm,12,36,0
46,260,350,s27/1.pgm,s36/1.pgm,27,36,0
47,24,29,s3/5.pgm,s3/10.pgm,3,3,1
48,73,78,s8/4.pgm,s8/9.pgm,8,8,1
49,8,289,s1/9.pgm,s29/10.pgm,1,29,0
50,238,305,s24/9.pgm,s31/6.pgm,24,31,0
51,336,339,s34/7.pgm,s34/10.pgm,34,34,1
52,138,269,s14/9.pgm,s27/10.pgm,14,27,0
53,61,120,s7/2.pgm,s13/1.pgm,7,13,0
54,210,211,s22/1.pgm,s22/2.pgm,22,22,1
55,256,259,s26/7.pgm,s26/10.pgm,26,26,1
56,63,69,s7/4.pgm,s7/10.pgm,7,7,1
57,241,246,s25/2.pgm,s25/7.pgm,25,25,1
58,226,243,s23/7.pgm,s25/4.pgm,23,25,0
59,117,132,s12/8.pgm,s14/3.pgm,12,14,0
60,321,326,s33/2.pgm,s33/7.pgm,33,33,1
61,132,135,s14/3.pgm,s14/6.pgm,14,14,1
62,122,124,s13/3.pgm,s13/5.pgm,13,13,1
63,225,227,s23/6.pgm,s23/8.pgm,23,23,1
64,110,384,s12/1.pgm,s39/5.pgm,12,39,0
65,149,350,s15/10.pgm,s36/1.pgm,15,36,0
66,215,238,s22/6.pgm,s24/9.pgm,22,24,0
67,45,235,s5/6.pgm,s24/6.pgm,5,24,0
68,217,387,s22/8.pgm,s39/8.pgm,22,39,0
69,3,6,s1/4.pgm,s1/7.pgm,1,1,1
70,260,383,s27/1.pgm,s39/4.pgm,27,39,0
71,63,67,s7/4.pgm,s7/8.pgm,7,7,1
72,56,337,s6/7.pgm,s34/8.pgm,6,34,0
73,124,351,s13/5.pgm,s36/2.pgm,13,36,0
74,231,232,s24/2.pgm,s24/3.pgm,24,24,1
75,111,383,s12/2.pgm,s39/4.pgm,12,39,0
76,240,243,s25/1.pgm,s25/4.pgm,25,25,1
77,143,352,s15/4.pgm,s36/3.pgm,15,36,0
78,302,356,s31/3.pgm,s36/7.pgm,31,36,0
79,55,132,s6/6.pgm,s14/3.pgm,6,14,0
80,236,238,s24/7.pgm,s24/9.pgm,24,24,1
81,231,233,s24/2.pgm,s24/4.pgm,24,24,1
82,231,239,s24/2.pgm,s24/10.pgm,24,24,1
83,135,347,s14/6.pgm,s35/8.pgm,14,35,0
84,135,314,s14/6.pgm,s32/5.pgm,14,32,0
85,215,287,s22/6.pgm,s29/8.pgm,22,29,0
86,224,226,s23/5.pgm,s23/7.pgm,23,23,1
87,67,68,s7/8.pgm,s7/9.pgm,7,7,1
88,7,311,s1/8.pgm,s32/2.pgm,1,32,0
89,355,357,s36/6.pgm,s36/8.pgm,36,36,1
90,45,285,s5/6.pgm,s29/6.pgm,5,29,0
91,24,250,s3/5.pgm,s26/1.pgm,3,26,0
92,220,225,s23/1.pgm,s23/6.pgm,23,23,1
93,54,57,s6/5.pgm,s6/8.pgm,6,6,1
94,254,257,s26/5.pgm,s26/8.pgm,26,26,1
95,71,339,s8/2.pgm,s34/10.pgm,8,34,0
96,25,59,s3/6.pgm,s6/10.pgm,3,6,0
97,122,146,s13/3.pgm,s15/7.pgm,13,15,0
98,79,319,s8/10.pgm,s32/10.pgm,8,32,0
99,49,263,s5/10.pgm,s27/4.pgm,5,27,0
100,255,334,s26/6.pgm,s34/5.pgm,26,34,0
101,258,283,s26/9.pgm,s29/4.pgm,26,29,0
102,143,257,s15/4.pgm,s26/8.pgm,15,26,0
103,64,68,s7/5.pgm,s7/9.pgm,7,7,1
104,245,249,s25/6.pgm,s25/10.pgm,25,25,1
105,233,315,s24/4.pgm,s32/6.pgm,24,32,0
106,56,127,s6/7.pgm,s13/8.pgm,6,13,0
107,233,238,s24/4.pgm,s24/9.pgm,24,24,1
108,65,70,s7/6.pgm,s8/1.pgm,7,8,0
109,312,355,s32/3.pgm,s36/6.pgm,32,36,0
110,3,8,s1/4.pgm,s1/9.pgm,1,1,1
111,71,230,s8/2.pgm,s24/1.pgm,8,24,0
112,232,235,s24/3.pgm,s24/6.pgm,24,24,1
113,215,217,s22/6.pgm,s22/8.pgm,22,22,1
114,64,331,s7/5.pgm,s34/2.pgm,7,34,0
115,143,267,s15/4.pgm,s27/8.pgm,15,27,0
116,124,125,s13/5.pgm,s13/6.pgm,13,13,1
117,120,127,s13/1.pgm,s13/8.pgm,13,13,1
118,133,211,s14/4.pgm,s22/2.pgm,14,22,0
119,122,123,s13/3.pgm,s13/4.pgm,13,13,1
120,20,26,s3/1.pgm,s3/7.pgm,3,3,1
121,260,328,s27/1.pgm,s33/9.pgm,27,33,0
122,71,259,s8/2.pgm,s26/10.pgm,8,26,0
123,380,389,s39/1.pgm,s39/10.pgm,39,39,1
124,120,126,s13/1.pgm,s13/7.pgm,13,13,1
125,54,225,s6/5.pgm,s23/6.pgm,6,23,0
126,255,259,s26/6.pgm,s26/10.pgm,26,26,1
127,28,59,s3/9.pgm,s6/10.pgm,3,6,0
128,1,2,s1/2.pgm,s1/3.pgm,1,1,1
129,380,381,s39/1.pgm,s39/2.pgm,39,39,1
130,72,77,s8/3.pgm,s8/8.pgm,8,8,1
131,134,386,s14/5.pgm,s39/7.pgm,14,39,0
132,300,303,s31/1.pgm,s31/4.pgm,31,31,1
133,42,245,s5/3.pgm,s25/6.pgm,5,25,0
134,385,389,s39/6.pgm,s39/10.pgm,39,39,1
135,332,336,s34/3.pgm,s34/7.pgm,34,34,1
136,23,116,s3/4.pgm,s12/7.pgm,3,12,0
137,213,219,s22/4.pgm,s22/10.pgm,22,22,1
138,243,247,s25/4.pgm,s25/8.pgm,25,25,1
139,217,261,s22/8.pgm,s27/2.pgm,22,27,0
140,306,308,s31/7.pgm,s31/9.pgm,31,31,1
141,142,144,s15/3.pgm,s15/5.pgm,15,15,1
142,330,333,s34/1.pgm,s34/4.pgm,34,34,1
143,240,241,s25/1.pgm,s25/2.pgm,25,25,1
144,241,244,s25/2.pgm,s25/5.pgm,25,25,1
145,57,358,s6/8.pgm,s36/9.pgm,6,36,0
146,0,9,s1/1.pgm,s1/10.pgm,1,1,1
147,136,300,s14/7.pgm,s31/1.pgm,14,31,0
148,284,359,s29/5.pgm,s36/10.pgm,29,36,0
149,381,385,s39/2.pgm,s39/6.pgm,39,39,1
150,41,47,s5/2.pgm,s5/8.pgm,5,5,1
151,40,48,s5/1.pgm,s5/9.pgm,5,5,1
152,263,388,s27/4.pgm,s39/9.pgm,27,39,0
153,235,264,s24/6.pgm,s27/5.pgm,24,27,0
154,380,387,s39/1.pgm,s39/8.pgm,39,39,1
155,311,319,s32/2.pgm,s32/10.pgm,32,32,1
156,230,239,s24/1.pgm,s24/10.pgm,24,24,1
157,283,289,s29/4.pgm,s29/10.pgm,29,29,1
158,216,238,s22/7.pgm,s24/9.pgm,22,24,0
159,25,27,s3/6.pgm,s3/8.pgm,3,3,1
160,123,265,s13/4.pgm,s27/6.pgm,13,27,0
161,241,243,s25/2.pgm,s25/4.pgm,25,25,1
162,335,337,s34/6.pgm,s34/8.pgm,34,34,1
163,304,306,s31/5.pgm,s31/7.pgm,31,31,1
164,225,380,s23/6.pgm,s39/1.pgm,23,39,0
165,254,269,s26/5.pgm,s27/10.pgm,26,27,0
166,223,224,s23/4.pgm,s23/5.pgm,23,23,1
167,146,226,s15/7.pgm,s23/7.pgm,15,23,0
168,250,389,s26/1.pgm,s39/10.pgm,26,39,0
169,77,114,s8/8.pgm,s12/5.pgm,8,12,0
170,20,380,s3/1.pgm,s39/1.pgm,3,39,0
171,230,323,s24/1.pgm,s33/4.pgm,24,33,0
172,23,27,s3/4.pgm,s3/8.pgm,3,3,1
173,74,78,s8/5.pgm,s8/9.pgm,8,8,1
174,301,315,s31/2.pgm,s32/6.pgm,31,32,0
175,234,236,s24/5.pgm,s24/7.pgm,24,24,1
176,40,237,s5/1.pgm,s24/8.pgm,5,24,0
177,22,77,s3/3.pgm,s8/8.pgm,3,8,0
178,225,229,s23/6.pgm,s23/10.pgm,23,23,1
179,284,325,s29/5.pgm,s33/6.pgm,29,33,0
180,213,337,s22/4.pgm,s34/8.pgm,22,34,0
181,250,251,s26/1.pgm,s26/2.pgm,26,26,1
182,281,285,s29/2.pgm,s29/6.pgm,29,29,1
183,137,211,s14/8.pgm,s22/2.pgm,14,22,0
184,42,69,s5/3.pgm,s7/10.pgm,5,7,0
185,51,52,s6/2.pgm,s6/3.pgm,6,6,1
186,123,256,s13/4.pgm,s26/7.pgm,13,26,0
187,141,143,s15/2.pgm,s15/4.pgm,15,15,1
188,263,311,s27/4.pgm,s32/2.pgm,27,32,0
189,41,42,s5/2.pgm,s5/3.pgm,5,5,1
190,339,357,s34/10.pgm,s36/8.pgm,34,36,0
191,247,355,s25/8.pgm,s36/6.pgm,25,36,0
192,29,332,s3/10.pgm,s34/3.pgm,3,34,0
193,338,389,s34/9.pgm,s39/10.pgm,34,39,0
194,210,214,s22/1.pgm,s22/5.pgm,22,22,1
195,148,321,s15/9.pgm,s33/2.pgm,15,33,0
196,119,256,s12/10.pgm,s26/7.pgm,12,26,0
197,219,336,s22/10.pgm,s34/7.pgm,22,34,0
198,346,349,s35/7.pgm,s35/10.pgm,35,35,1
199,264,267,s27/5.pgm,s27/8.pgm,27,27,1
200,231,236,s24/2.pgm,s24/7.pgm,24,24,1
201,7,228,s1/8.pgm,s23/9.pgm,1,23,0
202,65,112,s7/6.pgm,s12/3.pgm,7,12,0
203,54,77,s6/5.pgm,s8/8.pgm,6,8,0
204,219,385,s22/10.pgm,s39/6.pgm,22,39,0
205,262,328,s27/3.pgm,s33/9.pgm,27,33,0
206,211,212,s22/2.pgm,s22/3.pgm,22,22,1
207,259,335,s26/10.pgm,s34/6.pgm,26,34,0
208,222,228,s23/3.pgm,s23/9.pgm,23,23,1
209,41,141,s5/2.pgm,s15/2.pgm,5,15,0
210,244,330,s25/5.pgm,s34/1.pgm,25,34,0
211,110,241,s12/1.pgm,s25/2.pgm,12,25,0
212,20,329,s3/1.pgm,s33/10.pgm,3,33,0
213,110,114,s12/1.pgm,s12/5.pgm,12,12,1
214,318,319,s32/9.pgm,s32/10.pgm,32,32,1
215,260,263,s27/1.pgm,s27/4.pgm,27,27,1
216,284,287,s29/5.pgm,s29/8.pgm,29,29,1
217,113,338,s12/4.pgm,s34/9.pgm,12,34,0
218,386,389,s39/7.pgm,s39/10.pgm,39,39,1
219,242,261,s25/3.pgm,s27/2.pgm,25,27,0
220,230,235,s24/1.pgm,s24/6.pgm,24,24,1
221,131,325,s14/2.pgm,s33/6.pgm,14,33,0
222,230,307,s24/1.pgm,s31/8.pgm,24,31,0
223,4,8,s1/5.pgm,s1/9.pgm,1,1,1
224,23,51,s3/4.pgm,s6/2.pgm,3,6,0
225,244,386,s25/5.pgm,s39/7.pgm,25,39,0
226,61,64,s7/2.pgm,s7/5.pgm,7,7,1
227,240,319,s25/1.pgm,s32/10.pgm,25,32,0
228,325,328,s33/6.pgm,s33/9.pgm,33,33,1
229,147,336,s15/8.pgm,s34/7.pgm,15,34,0
230,50,53,s6/1.pgm,s6/4.pgm,6,6,1
231,112,349,s12/3.pgm,s35/10.pgm,12,35,0
232,79,328,s8/10.pgm,s33/9.pgm,8,33,0
233,47,326,s5/8.pgm,s33/7.pgm,5,33,0
234,21,22,s3/2.pgm,s3/3.pgm,3,3,1
235,225,262,s23/6.pgm,s27/3.pgm,23,27,0
236,67,230,s7/8.pgm,s24/1.pgm,7,24,0
237,281,282,s29/2.pgm,s29/3.pgm,29,29,1
238,260,261,s27/1.pgm,s27/2.pgm,27,27,1
239,332,349,s34/3.pgm,s35/10.pgm,34,35,0
240,147,149,s15/8.pgm,s15/10.pgm,15,15,1
241,73,254,s8/4.pgm,s26/5.pgm,8,26,0
242,111,113,s12/2.pgm,s12/4.pgm,12,12,1
243,111,114,s12/2.pgm,s12/5.pgm,12,12,1
244,65,116,s7/6.pgm,s12/7.pgm,7,12,0
245,227,255,s23/8.pgm,s26/6.pgm,23,26,0
246,288,381,s29/9.pgm,s39/2.pgm,29,39,0
247,0,5,s1/1.pgm,s1/6.pgm,1,1,1
248,3,78,s1/4.pgm,s8/9.pgm,1,8,0
249,42,147,s5/3.pgm,s15/8.pgm,5,15,0
250,345,346,s35/6.pgm,s35/7.pgm,35,35,1
251,212,219,s22/3.pgm,s22/10.pgm,22,22,1
252,355,385,s36/6.pgm,s39/6.pgm,36,39,0
253,140,147,s15/1.pgm,s15/8.pgm,15,15,1
254,287,288,s29/8.pgm,s29/9.pgm,29,29,1
255,350,358,s36/1.pgm,s36/9.pgm,36,36,1
256,327,328,s33/8.pgm,s33/9.pgm,33,33,1
257,40,59,s5/1.pgm,s6/10.pgm,5,6,0
258,227,288,s23/8.pgm,s29/9.pgm,23,29,0
259,71,76,s8/2.pgm,s8/7.pgm,8,8,1
260,47,259,s5/8.pgm,s26/10.pgm,5,26,0
261,73,346,s8/4.pgm,s35/7.pgm,8,35,0
262,338,355,s34/9.pgm,s36/6.pgm,34,36,0
263,65,66,s7/6.pgm,s7/7.pgm,7,7,1
264,310,389,s32/1.pgm,s39/10.pgm,32,39,0
265,24,26,s3/5.pgm,s3/7.pgm,3,3,1
266,247,249,s25/8.pgm,s25/10.pgm,25,25,1
267,119,331,s12/10.pgm,s34/2.pgm,12,34,0
268,5,123,s1/6.pgm,s13/4.pgm,1,13,0
269,110,112,s12/1.pgm,s12/3.pgm,12,12,1
270,242,260,s25/3.pgm,s27/1.pgm,25,27,0
271,23,123,s3/4.pgm,s13/4.pgm,3,13,0
272,28,286,s3/9.pgm,s29/7.pgm,3,29,0
273,239,265,s24/10.pgm,s27/6.pgm,24,27,0
274,44,323,s5/5.pgm,s33/4.pgm,5,33,0
275,320,322,s33/1.pgm,s33/3.pgm,33,33,1
276,41,324,s5/2.pgm,s33/5.pgm,5,33,0
277,253,258,s26/4.pgm,s26/9.pgm,26,26,1
278,46,48,s5/7.pgm,s5/9.pgm,5,5,1
279,230,237,s24/1.pgm,s24/8.pgm,24,24,1
280,252,256,s26/3.pgm,s26/7.pgm,26,26,1
281,40,217,s5/1.pgm,s22/8.pgm,5,22,0
282,305,306,s31/6.pgm,s31/7.pgm,31,31,1
283,251,308,s26/2.pgm,s31/9.pgm,26,31,0
284,40,47,s5/1.pgm,s5/8.pgm,5,5,1
285,63,65,s7/4.pgm,s7/6.pgm,7,7,1
286,120,124,s13/1.pgm,s13/5.pgm,13,13,1
287,121,123,s13/2.pgm,s13/4.pgm,13,13,1
288,53,112,s6/4.pgm,s12/3.pgm,6,12,0
289,61,68,s7/2.pgm,s7/9.pgm,7,7,1
290,340,343,s35/1.pgm,s35/4.pgm,35,35,1
291,245,247,s25/6.pgm,s25/8.pgm,25,25,1
292,8,114,s1/9.pgm,s12/5.pgm,1,12,0
293,385,386,s39/6.pgm,s39/7.pgm,39,39,1
294,117,304,s12/8.pgm,s31/5.pgm,12,31,0
295,230,233,s24/1.pgm,s24/4.pgm,24,24,1
296,64,66,s7/5.pgm,s7/7.pgm,7,7,1
297,65,334,s7/6.pgm,s34/5.pgm,7,34,0
298,2,54,s1/3.pgm,s6/5.pgm,1,6,0
299,77,337,s8/8.pgm,s34/8.pgm,8,34,0
300,315,319,s32/6.pgm,s32/10.pgm,32,32,1
301,122,128,s13/3.pgm,s13/9.pgm,13,13,1
302,334,335,s34/5.pgm,s34/6.pgm,34,34,1
303,144,149,s15/5.pgm,s15/10.pgm,15,15,1
304,284,285,s29/5.pgm,s29/6.pgm,29,29,1
305,251,259,s26/2.pgm,s26/10.pgm,26,26,1
306,282,283,s29/3.pgm,s29/4.pgm,29,29,1
307,134,329,s14/5.pgm,s33/10.pgm,14,33,0
308,45,48,s5/6.pgm,s5/9.pgm,5,5,1
309,142,143,s15/3.pgm,s15/4.pgm,15,15,1
310,342,347,s35/3.pgm,s35/8.pgm,35,35,1
311,234,380,s24/5.pgm,s39/1.pgm,24,39,0
312,65,352,s7/6.pgm,s36/3.pgm,7,36,0
313,72,79,s8/3.pgm,s8/10.pgm,8,8,1
314,41,350,s5/2.pgm,s36/1.pgm,5,36,0
315,48,49,s5/9.pgm,s5/10.pgm,5,5,1
316,228,381,s23/9.pgm,s39/2.pgm,23,39,0
317,240,245,s25/1.pgm,s25/6.pgm,25,25,1
318,261,269,s27/2.pgm,s27/10.pgm,27,27,1
319,4,259,s1/5.pgm,s26/10.pgm,1,26,0
320,29,148,s3/10.pgm,s15/9.pgm,3,15,0
321,54,239,s6/5.pgm,s24/10.pgm,6,24,0
322,137,243,s14/8.pgm,s25/4.pgm,14,25,0
323,50,51,s6/1.pgm,s6/2.pgm,6,6,1
324,136,138,s14/7.pgm,s14/9.pgm,14,14,1
325,132,280,s14/3.pgm,s29/1.pgm,14,29,0
326,143,359,s15/4.pgm,s36/10.pgm,15,36,0
327,287,315,s29/8.pgm,s32/6.pgm,29,32,0
328,116,119,s12/7.pgm,s12/10.pgm,12,12,1
329,59,226,s6/10.pgm,s23/7.pgm,6,23,0
330,341,346,s35/2.pgm,s35/7.pgm,35,35,1
331,136,388,s14/7.pgm,s39/9.pgm,14,39,0
332,222,223,s23/3.pgm,s23/4.pgm,23,23,1
333,3,65,s1/4.pgm,s7/6.pgm,1,7,0
334,239,282,s24/10.pgm,s29/3.pgm,24,29,0
335,344,354,s35/5.pgm,s36/5.pgm,35,36,0
336,123,240,s13/4.pgm,s25/1.pgm,13,25,0
337,50,54,s6/1.pgm,s6/5.pgm,6,6,1
338,78,149,s8/9.pgm,s15/10.pgm,8,15,0
339,149,323,s15/10.pgm,s33/4.pgm,15,33,0
340,59,322,s6/10.pgm,s33/3.pgm,6,33,0
341,110,354,s12/1.pgm,s36/5.pgm,12,36,0
342,40,43,s5/1.pgm,s5/4.pgm,5,5,1
343,347,349,s35/8.pgm,s35/10.pgm,35,35,1
344,315,317,s32/6.pgm,s32/8.pgm,32,32,1
345,284,312,s29/5.pgm,s32/3.pgm,29,32,0
346,53,54,s6/4.pgm,s6/5.pgm,6,6,1
347,1,6,s1/2.pgm,s1/7.pgm,1,1,1
348,51,146,s6/2.pgm,s15/7.pgm,6,15,0
349,380,383,s39/1.pgm,s39/4.pgm,39,39,1
350,314,315,s32/5.pgm,s32/6.pgm,32,32,1
351,117,119,s12/8.pgm,s12/10.pgm,12,12,1
352,52,285,s6/3.pgm,s29/6.pgm,6,29,0
353,130,137,s14/1.pgm,s14/8.pgm,14,14,1
354,284,286,s29/5.pgm,s29/7.pgm,29,29,1
355,283,287,s29/4.pgm,s29/8.pgm,29,29,1
356,333,359,s34/4.pgm,s36/10.pgm,34,36,0
357,215,234,s22/6.pgm,s24/5.pgm,22,24,0
358,331,334,s34/2.pgm,s34/5.pgm,34,34,1
359,22,341,s3/3.pgm,s35/2.pgm,3,35,0
360,249,343,s25/10.pgm,s35/4.pgm,25,35,0
361,141,147,s15/2.pgm,s15/8.pgm,15,15,1
362,242,247,s25/3.pgm,s25/8.pgm,25,25,1
363,122,127,s13/3.pgm,s13/8.pgm,13,13,1
364,133,138,s14/4.pgm,s14/9.pgm,14,14,1
365,217,219,s22/8.pgm,s22/10.pgm,22,22,1
366,242,245,s25/3.pgm,s25/6.pgm,25,25,1
367,74,110,s8/5.pgm,s12/1.pgm,8,12,0
368,135,137,s14/6.pgm,s14/8.pgm,14,14,1
369,224,347,s23/5.pgm,s35/8.pgm,23,35,0
370,74,79,s8/5.pgm,s8/10.pgm,8,8,1
371,285,289,s29/6.pgm,s29/10.pgm,29,29,1
372,7,8,s1/8.pgm,s1/9.pgm,1,1,1
373,237,256,s24/8.pgm,s26/7.pgm,24,26,0
374,263,267,s27/4.pgm,s27/8.pgm,27,27,1
375,211,305,s22/2.pgm,s31/6.pgm,22,31,0
376,325,350,s33/6.pgm,s36/1.pgm,33,36,0
377,127,336,s13/8.pgm,s34/7.pgm,13,34,0
378,110,119,s12/1.pgm,s12/10.pgm,12,12,1
379,70,79,s8/1.pgm,s8/10.pgm,8,8,1
380,49,132,s5/10.pgm,s14/3.pgm,5,14,0
381,251,254,s26/2.pgm,s26/5.pgm,26,26,1
382,312,319,s32/3.pgm,s32/10.pgm,32,32,1
383,144,242,s15/5.pgm,s25/3.pgm,15,25,0
384,211,213,s22/2.pgm,s22/4.pgm,22,22,1
385,135,139,s14/6.pgm,s14/10.pgm,14,14,1
386,333,336,s34/4.pgm,s34/7.pgm,34,34,1
387,310,319,s32/1.pgm,s32/10.pgm,32,32,1
388,126,223,s13/7.pgm,s23/4.pgm,13,23,0
389,77,79,s8/8.pgm,s8/10.pgm,8,8,1
390,54,211,s6/5.pgm,s22/2.pgm,6,22,0
391,220,228,s23/1.pgm,s23/9.pgm,23,23,1
392,141,148,s15/2.pgm,s15/9.pgm,15,15,1
393,249,306,s25/10.pgm,s31/7.pgm,25,31,0
394,115,146,s12/6.pgm,s15/7.pgm,12,15,0
395,347,348,s35/8.pgm,s35/9.pgm,35,35,1
396,327,345,s33/8.pgm,s35/6.pgm,33,35,0
397,58,79,s6/9.pgm,s8/10.pgm,6,8,0
398,345,348,s35/6.pgm,s35/9.pgm,35,35,1
399,252,254,s26/3.pgm,s26/5.pgm,26,26,1
400,67,122,s7/8.pgm,s13/3.pgm,7,13,0
401,138,357,s14/9.pgm,s36/8.pgm,14,36,0
402,227,243,s23/8.pgm,s25/4.pgm,23,25,0
403,59,218,s6/10.pgm,s22/9.pgm,6,22,0
404,28,212,s3/9.pgm,s22/3.pgm,3,22,0
405,285,286,s29/6.pgm,s29/7.pgm,29,29,1
406,76,77,s8/7.pgm,s8/8.pgm,8,8,1
407,41,348,s5/2.pgm,s35/9.pgm,5,35,0
408,123,334,s13/4.pgm,s34/5.pgm,13,34,0
409,130,233,s14/1.pgm,s24/4.pgm,14,24,0
410,268,269,s27/9.pgm,s27/10.pgm,27,27,1
411,3,221,s1/4.pgm,s23/2.pgm,1,23,0
412,114,125,s12/5.pgm,s13/6.pgm,12,13,0
413,21,25,s3/2.pgm,s3/6.pgm,3,3,1
414,128,129,s13/9.pgm,s13/10.pgm,13,13,1
415,20,226,s3/1.pgm,s23/7.pgm,3,23,0
416,6,116,s1/7.pgm,s12/7.pgm,1,12,0
417,62,67,s7/3.pgm,s7/8.pgm,7,7,1
418,111,260,s12/2.pgm,s27/1.pgm,12,27,0
419,20,118,s3/1.pgm,s12/9.pgm,3,12,0
420,66,219,s7/7.pgm,s22/10.pgm,7,22,0
421,64,69,s7/5.pgm,s7/10.pgm,7,7,1
422,0,233,s1/1.pgm,s24/4.pgm,1,24,0
423,4,144,s1/5.pgm,s15/5.pgm,1,15,0
424,65,67,s7/6.pgm,s7/8.pgm,7,7,1
425,213,215,s22/4.pgm,s22/6.pgm,22,22,1
426,146,212,s15/7.pgm,s22/3.pgm,15,22,0
427,247,280,s25/8.pgm,s29/1.pgm,25,29,0
428,281,289,s29/2.pgm,s29/10.pgm,29,29,1
429,124,283,s13/5.pgm,s29/4.pgm,13,29,0
430,60,282,s7/1.pgm,s29/3.pgm,7,29,0
431,26,28,s3/7.pgm,s3/9.pgm,3,3,1
432,218,219,s22/9.pgm,s22/10.pgm,22,22,1
433,50,72,s6/1.pgm,s8/3.pgm,6,8,0
434,1,8,s1/2.pgm,s1/9.pgm,1,1,1
435,113,330,s12/4.pgm,s34/1.pgm,12,34,0
436,312,318,s32/3.pgm,s32/9.pgm,32,32,1
437,147,247,s15/8.pgm,s25/8.pgm,15,25,0
438,322,326,s33/3.pgm,s33/7.pgm,33,33,1
439,49,111,s5/10.pgm,s12/2.pgm,5,12,0
440,20,125,s3/1.pgm,s13/6.pgm,3,13,0
441,78,354,s8/9.pgm,s36/5.pgm,8,36,0
442,23,26,s3/4.pgm,s3/7.pgm,3,3,1
443,123,128,s13/4.pgm,s13/9.pgm,13,13,1
444,111,117,s12/2.pgm,s12/8.pgm,12,12,1
445,1,9,s1/2.pgm,s1/10.pgm,1,1,1
446,280,289,s29/1.pgm,s29/10.pgm,29,29,1
447,131,328,s14/2.pgm,s33/9.pgm,14,33,0
448,5,8,s1/6.pgm,s1/9.pgm,1,1,1
449,112,115,s12/3.pgm,s12/6.pgm,12,12,1
450,225,226,s23/6.pgm,s23/7.pgm,23,23,1
451,261,267,s27/2.pgm,s27/8.pgm,27,27,1
452,140,145,s15/1.pgm,s15/6.pgm,15,15,1
453,21,305,s3/2.pgm,s31/6.pgm,3,31,0
454,126,148,s13/7.pgm,s15/9.pgm,13,15,0
455,142,316,s15/3.pgm,s32/7.pgm,15,32,0
456,251,257,s26/2.pgm,s26/8.pgm,26,26,1
457,137,139,s14/8.pgm,s14/10.pgm,14,14,1
458,43,47,s5/4.pgm,s5/8.pgm,5,5,1
459,263,264,s27/4.pgm,s27/5.pgm,27,27,1
460,131,246,s14/2.pgm,s25/7.pgm,14,25,0
461,114,116,s12/5.pgm,s12/7.pgm,12,12,1
462,248,255,s25/9.pgm,s26/6.pgm,25,26,0
463,4,132,s1/5.pgm,s14/3.pgm,1,14,0
