pair_id,left_index,right_index,target,raw_score,pca_score
181,250,251,1,-12.384274406527446,-10.985805144343045
182,281,285,1,-15.652453866048306,-14.589657142195566
183,137,211,0,-18.702139314174104,-18.025524435778756
184,42,69,0,-20.6221022453424,-20.14245821669759
185,51,52,1,-10.346699202332529,-8.309881899316297
186,123,256,0,-16.664453816008173,-15.866398727826933
187,141,143,1,-17.706236322355327,-16.949816950506932
188,263,311,0,-19.91826720413118,-19.277980844345013
189,41,42,1,-8.414723518646513,-5.972282819334149
190,339,357,0,-23.49140920004332,-22.952286568638012
191,247,355,0,-22.027598361445605,-21.5872897713768
192,29,332,0,-24.964341852669033,-24.491301517562395
193,338,389,0,-18.79875183116621,-18.096552077126816
194,210,214,1,-9.334637589570892,-7.008495121195969
195,148,321,0,-20.861676100088665,-20.26446695531203
196,119,256,0,-17.739090701186186,-17.01908591351552
197,219,336,0,-18.77444265887009,-18.366781712997348
198,346,349,1,-21.485796743075134,-21.143897039044646
199,264,267,1,-17.067540330441723,-16.11614561061917
200,231,236,1,-10.558301679242103,-8.6227825432607
201,7,228,0,-27.27857008608586,-26.755039354384138
202,65,112,0,-22.067680112492564,-21.48903108698434
203,54,77,0,-23.18811091670173,-22.530944585537164
204,219,385,0,-16.01920844741664,-15.196895536546156
205,262,328,0,-26.954724916254225,-26.417163389851783
206,211,212,1,-12.250410708353717,-10.695247782382005
207,259,335,0,-25.473029221259182,-24.837290491182024
208,222,228,1,-17.096025613676986,-16.45054079440035
209,41,141,0,-14.99771407998748,-13.952876708967606
210,244,330,0,-21.744655394122415,-21.217799384271963
211,110,241,0,-19.353497909957838,-18.70722362887632
212,20,329,0,-22.67941554934505,-22.147320939714373
213,110,114,1,-16.00945029175109,-15.245947994093337
214,318,319,1,-11.453307996712882,-9.635872824563615
215,260,263,1,-9.169198039052128,-6.240313337207661
216,284,287,1,-11.937929741115635,-10.595054306499831
217,113,338,0,-24.986467980154277,-24.398699266960445
218,386,389,1,-15.13828196708644,-14.237698003641134
219,242,261,0,-21.11617573362023,-20.53210943920257
220,230,235,1,-10.996105386886153,-9.470220958977078
221,131,325,0,-27.583534175045838,-27.191254530197348
222,230,307,0,-20.35809269261991,-19.551351351130357
223,4,8,1,-15.379427506942251,-14.740431643277084
224,23,51,0,-22.853885179348506,-22.128112313094483
225,244,386,0,-22.63285812283539,-22.009468778209293
226,61,64,1,-15.020385809799569,-14.319703381274012
227,240,319,0,-19.8927655435635,-19.230403719756787
228,325,328,1,-11.029971828085916,-9.140126011623831
229,147,336,0,-23.01336880957948,-22.61871532451073
230,50,53,1,-14.346634899246723,-13.339063376410376
231,112,349,0,-19.09031919648734,-18.53231616275445
232,79,328,0,-24.97303162559645,-24.467853936567398
233,47,326,0,-25.709378097086912,-25.211894684059057
234,21,22,1,-8.619931944540912,-6.5346189045612135
235,225,262,0,-25.512571508225616,-25.033320190887547
236,67,230,0,-18.38473952152691,-17.649894208686845
237,281,282,1,-11.28943970934879,-9.475066695626456
238,260,261,1,-13.121308910216884,-12.390204145108939
239,332,349,0,-24.09240683605262,-23.76445696063277
240,147,149,1,-15.984593101470514,-15.231256555420229
241,73,254,0,-25.727434975787503,-25.240822689689576
242,111,113,1,-12.562821216832402,-11.385652651065566
243,111,114,1,-10.588739611907915,-8.759700621268427
244,65,116,0,-21.274852600007286,-20.653891279962483
245,227,255,0,-20.733623111536065,-20.141523207732686
246,288,381,0,-16.447000844221037,-15.524021695130642
247,0,5,1,-18.62403410141849,-17.982718742069853
248,3,78,0,-27.25982895823103,-26.745371767088976
249,42,147,0,-20.359714636958245,-19.83244263354795
250,345,346,1,-12.187262147094314,-10.947047995860988
251,212,219,1,-13.776671839040798,-12.784295823804799
252,355,385,0,-26.061021961451946,-25.685903821583196
253,140,147,1,-14.427772909856525,-13.422329994329612
254,287,288,1,-14.26055230922693,-13.094208759481436
255,350,358,1,-17.787582364779873,-17.524466276302306
256,327,328,1,-16.20112549270012,-15.451683119327551
257,40,59,0,-22.78981529641679,-22.21486884121965
258,227,288,0,-22.202699659924846,-21.6828129012951
259,71,76,1,-9.866509413893775,-8.31681632156681
260,47,259,0,-16.77658524660679,-15.840839633339149
261,73,346,0,-20.734243122443374,-20.20791327588562
262,338,355,0,-22.81820579471976,-22.422461918976047
263,65,66,1,-11.303363189841395,-9.729004452507745
264,310,389,0,-28.316048250280197,-28.029023188837204
265,24,26,1,-15.418643278816468,-14.60198974806754
266,247,249,1,-16.713209333684045,-15.854461430003738
267,119,331,0,-27.196622147277175,-26.79573856611946
268,5,123,0,-19.263438706635064,-18.614891728063114
269,110,112,1,-14.871033864654388,-13.679312763846633
270,242,260,0,-20.47582541874416,-19.66459849886365
271,23,123,0,-17.149112874362878,-16.247916946555684
272,28,286,0,-18.10477390412629,-17.208198701673034
273,239,265,0,-21.489158654767436,-21.02394596186896
274,44,323,0,-27.974942063657224,-27.45785120154579
275,320,322,1,-11.710486527772044,-9.8938832871343
276,41,324,0,-24.84169124901355,-24.265912188458067
277,253,258,1,-12.862477066007624,-11.466828319513716
278,46,48,1,-15.25768216221796,-14.280178147862493
279,230,237,1,-11.987308230781656,-10.682139534966737
280,252,256,1,-14.689817981671595,-13.729028810099562
281,40,217,0,-23.572680199983637,-23.003576964440025
282,305,306,1,-15.764186932604067,-14.87534098243701
283,251,308,0,-21.377170152947475,-20.728055339622603
284,40,47,1,-15.247895040124494,-14.400743838211413
285,63,65,1,-15.517904047704711,-14.83638043917448
286,120,124,1,-12.042206099683956,-10.650151314891652
287,121,123,1,-15.6499240701759,-14.824427934206017
288,53,112,0,-27.21828777563988,-26.759275438346915
289,61,68,1,-13.892613156918332,-12.936599803280675
290,340,343,1,-17.68864607500611,-16.997431743365155
291,245,247,1,-15.608220042655285,-14.63170322038927
292,8,114,0,-24.187526004329445,-23.825101450968855
293,385,386,1,-16.269388343462854,-15.491832567620008
294,117,304,0,-24.40351372227021,-23.962940048423345
295,230,233,1,-14.046647854941945,-12.73414978223209
296,64,66,1,-14.64870111108161,-13.960663463569857
297,65,334,0,-27.74060321281994,-27.27222344880789
298,2,54,0,-25.30044608377512,-24.691704739458597
299,77,337,0,-26.686611831899995,-26.20340710459707
300,315,319,1,-11.214535437181771,-9.857279508563492
301,122,128,1,-16.983010756551586,-16.246568738360956
302,334,335,1,-15.30357173017548,-14.359849863940964
303,144,149,1,-8.647608587328795,-5.841281841746189
304,284,285,1,-8.606786603820797,-5.136812249427447
305,251,259,1,-16.400453419674754,-15.474131875023524
306,282,283,1,-12.851781381965965,-11.477644894190808
307,134,329,0,-28.22643340389459,-27.942863625220532
308,45,48,1,-10.19676731565721,-8.746295093254675
309,142,143,1,-9.490444321536783,-7.085446853283686
310,342,347,1,-18.87277850169817,-18.04025957784677
311,234,380,0,-19.664808488879718,-18.89921451672862
312,65,352,0,-17.03789650653532,-16.41676326472972
313,72,79,1,-9.583904707352357,-7.882854588262136
314,41,350,0,-22.58595486492676,-22.221908809102683
315,48,49,1,-11.97712381472578,-10.44627467716506
316,228,381,0,-24.850647491993527,-24.312650435888617
317,240,245,1,-9.756547725323166,-7.569885216238992
318,261,269,1,-16.009435474089003,-15.605164637534063
319,4,259,0,-21.354579074896797,-20.729406706530398
320,29,148,0,-18.361533999482592,-17.571421633486334
321,54,239,0,-26.340768990549932,-25.79091078159787
322,137,243,0,-20.78230854443964,-20.357408785520075
323,50,51,1,-8.933351587510636,-6.229032817455328
324,136,138,1,-16.225742634465348,-15.708328605020125
325,132,280,0,-27.184822687300453,-26.68985761825292
326,143,359,0,-18.95887016313608,-18.58315090566274
327,287,315,0,-23.921048928409128,-23.555225801224164
328,116,119,1,-11.848246219995373,-10.322220589839787
329,59,226,0,-19.683051972190988,-18.895005302721067
330,341,346,1,-16.84344729088909,-16.439563428131173
331,136,388,0,-24.148847969731484,-23.641620509506996
332,222,223,1,-13.392003400008994,-12.50204183506915
333,3,65,0,-26.056785107188233,-25.534528476430697
334,239,282,0,-19.690744267106947,-18.938062514757156
335,344,354,0,-22.252645330881965,-21.855159942422144
336,123,240,0,-20.652254651616275,-19.878666439725972
337,50,54,1,-14.001227085080812,-12.659124101816596
338,78,149,0,-20.96533231279765,-20.35729683222103
339,149,323,0,-19.788467085844992,-19.06212666334069
340,59,322,0,-27.624032836997568,-27.050495677047106
341,110,354,0,-19.553258849488934,-19.135263913819504
342,40,43,1,-5.846569860504967,-3.1769322456865
343,347,349,1,-18.932902248188068,-18.336467611583412
344,315,317,1,-15.520719956587,-15.097899865320267
345,284,312,0,-25.78082126069565,-25.297971306546373
346,53,54,1,-10.756721186852458,-8.926368075385412
347,1,6,1,-18.56585741311767,-17.907392055323903
348,51,146,0,-18.164273784320496,-17.208056228992103
349,380,383,1,-12.347593347392875,-10.961698918403462
350,314,315,1,-15.106240186524161,-14.586343820036426
351,117,119,1,-13.346110169108236,-12.346642877704411
352,52,285,0,-20.31592664837986,-19.530832676392244
353,130,137,1,-17.623638110461318,-17.289078991692207
354,284,286,1,-10.187233302921106,-7.977301206374721
355,283,287,1,-13.016223149465118,-11.906431939230814
356,333,359,0,-25.686595540381074,-25.34628770109192
357,215,234,0,-19.21817254210362,-18.71432681104065
358,331,334,1,-15.179446455066213,-14.456747709235014
359,22,341,0,-19.055306929538073,-18.425917495951968
360,249,343,0,-16.79063470291924,-15.86503872288089
361,141,147,1,-16.17518844117659,-15.403152608366323
362,242,247,1,-15.465374964715833,-14.436763427791915
363,122,127,1,-14.753016159321506,-13.868100619147468
364,133,138,1,-19.760747864996777,-19.42261342192744
365,217,219,1,-12.528531322655278,-11.147025219041462
366,242,245,1,-8.872924300561913,-6.6449788852061005
367,74,110,0,-19.456617947783844,-18.892322997170282
368,135,137,1,-15.257340835583184,-14.570130415543712
369,224,347,0,-21.381734064891408,-20.801701863812994
370,74,79,1,-13.173932691320326,-12.255793905703317
371,285,289,1,-12.636215990123123,-10.930083761670932
372,7,8,1,-14.430324750029326,-13.539102179891875
373,237,256,0,-24.84878060024471,-24.32855487131503
374,263,267,1,-18.35825142306658,-17.506695647674896
375,211,305,0,-18.448245690145917,-17.61460600644647
376,325,350,0,-23.68502234221851,-23.40248738441411
377,127,336,0,-26.539823886273986,-26.21931711838798
378,110,119,1,-13.193041378099123,-12.255059964110231
379,70,79,1,-16.93365871395058,-16.34019099165198
380,49,132,0,-25.86049909672053,-25.343673176057507
381,251,254,1,-16.37034388835087,-15.541939173791473
382,312,319,1,-18.690877475461775,-18.014752454731216
383,144,242,0,-16.381467009563178,-15.328502973209938
384,211,213,1,-13.13555652923781,-12.176825006632772
385,135,139,1,-15.59054805832294,-15.270828516974138
386,333,336,1,-12.950876133405089,-12.203745097614588
387,310,319,1,-17.530304140000315,-17.021746502258104
388,126,223,0,-23.264769165472842,-22.77649400833902
389,77,79,1,-11.232787137762791,-10.031429801518177
390,54,211,0,-30.201385026862567,-29.655510206324735
391,220,228,1,-11.813049331692685,-10.352121589848922
392,141,148,1,-10.755495467159985,-9.182323387869435
393,249,306,0,-19.34118255811738,-18.72164985755011
394,115,146,0,-20.146018358742698,-19.46531265780128
395,347,348,1,-21.033438769135522,-20.58795140555263
396,327,345,0,-22.481571235998157,-21.917491339490216
397,58,79,0,-25.556385159448745,-25.20907735303667
398,345,348,1,-21.515219027688733,-20.981074736544652
399,252,254,1,-15.843599793461916,-14.810358487808415
400,67,122,0,-25.375162331775627,-24.919535730692914
401,138,357,0,-22.730656918374866,-22.374557326279554
402,227,243,0,-23.498361128921104,-22.96704798266229
403,59,218,0,-31.039697821326406,-30.496414438807754
404,28,212,0,-21.857157000631624,-21.16289446001348
405,285,286,1,-10.450239902842304,-8.33268621838645
406,76,77,1,-15.721017815089217,-14.914548868520011
407,41,348,0,-20.961175333725663,-20.47216183735965
408,123,334,0,-25.684781625899493,-25.150331599420547
409,130,233,0,-25.98498888320588,-25.644148429708565
410,268,269,1,-14.055295212195773,-13.358074256782043
411,3,221,0,-26.04676389316518,-25.59558929325938
412,114,125,0,-19.540865307305125,-19.061876966900055
413,21,25,1,-14.61004002189793,-13.42406745353181
414,128,129,1,-11.668232938221177,-10.20256320303589
415,20,226,0,-18.04051452056791,-17.21072445886562
416,6,116,0,-22.51044750146554,-21.999074968784843
417,62,67,1,-14.046783772432445,-13.421374060616078
418,111,260,0,-21.56617983511204,-20.84944365689534
419,20,118,0,-16.214039239733467,-15.246566330681878
420,66,219,0,-24.838652586070165,-24.285384042549794
421,64,69,1,-13.467657536302088,-12.92702084186197
422,0,233,0,-19.08070457690512,-18.322966868929893
423,4,144,0,-24.844076225183883,-24.28531975653039
424,65,67,1,-12.541146690579488,-11.347804873060408
425,213,215,1,-14.020420936492288,-13.468728955817935
426,146,212,0,-18.005266498252492,-17.095301976265034
427,247,280,0,-23.806023033790733,-23.168881237201546
428,281,289,1,-12.041597542266233,-10.51415156043311
429,124,283,0,-23.92432574830435,-23.277262247532008
430,60,282,0,-22.110977147218712,-21.436101539172594
431,26,28,1,-14.067147067958567,-12.827629413478487
432,218,219,1,-10.514126482754948,-8.78256592849631
433,50,72,0,-23.03647445119879,-22.3748719741093
434,1,8,1,-22.21777692214372,-21.82176007724077
435,113,330,0,-24.91165006706802,-24.447831048618763
436,312,318,1,-17.03879377316585,-16.343278017706947
437,147,247,0,-21.00830298778476,-20.398109525630165
438,322,326,1,-11.723299485278085,-10.048405637475847
439,49,111,0,-18.55982860222355,-17.74078172199244
440,20,125,0,-18.205733581398754,-17.680359409761024
441,78,354,0,-23.887511907622095,-23.57780689862742
442,23,26,1,-13.242164462927164,-11.953843863536251
443,123,128,1,-16.700811226896185,-15.944396366271494
444,111,117,1,-15.16483611175781,-14.243807508062364
445,1,9,1,-19.616718119565874,-18.89635395255283
446,280,289,1,-10.260501919065444,-8.210414995087884
447,131,328,0,-27.38466853646347,-26.900553516428538
448,5,8,1,-21.06595002445609,-20.653281185027687
449,112,115,1,-15.957386571196825,-15.0569302379975
450,225,226,1,-9.465050347703738,-7.816695540176116
451,261,267,1,-20.267874924873382,-19.674294796947905
452,140,145,1,-9.376696447443708,-6.243616921142244
453,21,305,0,-18.592146232786288,-18.036091171103873
454,126,148,0,-19.522791415729525,-18.78928337941481
455,142,316,0,-17.387065249356322,-16.802729343967048
456,251,257,1,-15.981299646407104,-15.104500081202794
457,137,139,1,-17.75878544244499,-17.467255995474677
458,43,47,1,-16.110405935882728,-15.411615503793508
459,263,264,1,-9.419050573661355,-6.948398073702436
460,131,246,0,-23.939877179105473,-23.38228197089448
461,114,116,1,-11.907858833234451,-10.652997692176518
462,248,255,0,-15.2871441529386,-14.114471611223458
463,4,132,0,-24.821624662913234,-24.375057491455596
464,72,332,0,-28.18501652254128,-27.81227097549308
465,64,65,1,-15.699773926629195,-15.06325289961912
466,317,332,0,-23.08712380243407,-22.788373599417127
467,344,345,1,-19.710839141203095,-18.971379827339646
468,45,123,0,-16.923392045294463,-16.13469030881221
469,5,319,0,-22.31367280977546,-21.800062616351877
470,126,305,0,-23.883459274523688,-23.39118436272906
471,60,334,0,-28.477576268916742,-27.866710831969115
472,387,388,1,-13.617724684219013,-12.643722982670939
473,74,114,0,-23.357622069048645,-22.908865221591338
474,74,220,0,-20.80236910283702,-20.1949652216808
475,23,354,0,-22.570177046467197,-22.123440934554715
476,144,147,1,-15.17065996095626,-14.156663113657123
477,54,266,0,-26.894942536194442,-26.441648043989023
478,251,258,1,-14.091424916500918,-13.044932672931578
479,221,229,1,-15.394943030767013,-14.682888115531222
480,343,349,1,-20.99176124372901,-20.419240518145877
481,41,345,0,-16.420253191939377,-15.501024839441204
482,300,304,1,-23.48452852356411,-23.055826438502297
483,60,68,1,-10.527807475828011,-8.79945906442698
484,143,325,0,-19.360565376556934,-18.855332880942253
485,144,285,0,-15.063386076997743,-13.76580325117714
486,120,128,1,-14.030459457583918,-12.926871784659578
487,212,218,1,-11.535390190083442,-9.75434770674318
488,383,388,1,-13.990240342793374,-12.923941878637672
489,351,358,1,-18.147166059574396,-17.9393644757573
490,113,266,0,-20.060679713390584,-19.512937510090687
491,130,134,1,-13.228774379607007,-12.776220647294146
492,52,348,0,-24.390383225022255,-23.974355044233505
493,311,314,1,-15.373295266131457,-14.800321199730547
494,357,359,1,-18.59619884903683,-18.291241439594177
495,324,328,1,-10.96055242620242,-9.18171753286247
496,2,4,1,-19.376173674990373,-18.774998875715102
497,226,235,0,-19.249821383245333,-18.508665108480184
498,310,311,1,-16.289377539880434,-15.81048736625524
499,122,387,0,-26.901805118460043,-26.402004202424692
500,230,232,1,-14.39845200424097,-13.057456660693688
501,354,356,1,-20.280424257594703,-19.97779982864827
502,54,216,0,-29.71893760436085,-29.16986061357576
503,210,259,0,-23.763601786656977,-23.12935139769815
504,133,134,1,-10.962055031041567,-9.143780339346442
505,118,356,0,-20.639482048674413,-20.032619597845365
506,74,351,0,-21.972468087558138,-21.570030548514044
507,300,306,1,-13.669606576486412,-12.80056319056542
508,352,356,1,-16.028150084427246,-15.324441282083608
509,7,131,0,-23.55321995835679,-23.00043398359307
510,121,125,1,-14.924470082460573,-13.992642473501014
511,141,145,1,-17.51127901990686,-16.549690911281072
512,336,337,1,-17.37186660715607,-16.774885368691972
513,237,343,0,-21.34032461543213,-20.724566536955876
514,43,49,1,-15.328671932223273,-14.309300920816566
515,144,254,0,-19.09112463374267,-18.23246861109426
516,286,334,0,-25.292264341242184,-24.702348084817686
517,60,65,1,-13.391499197291754,-12.438585243538169
518,241,389,0,-24.450693271804308,-23.836166098461533
519,0,2,1,-15.177813211656845,-14.150089611543812
520,351,353,1,-18.560107572037854,-18.113703086929753
521,2,75,0,-19.663909422679325,-18.989275989438134
522,22,23,1,-15.114218434415635,-14.130598660363582
523,66,344,0,-22.2478760612377,-21.5509318594634
524,329,337,0,-20.08867371169515,-19.457499405133586
525,281,284,1,-15.254722597487525,-14.25161959688395
526,130,285,0,-26.048287234176687,-25.645084523726833
527,212,350,0,-26.84337001258591,-26.431716367610676
528,222,334,0,-26.542619707863356,-26.013058975562767
529,52,385,0,-25.64061699881926,-25.173480005063055
530,47,138,0,-25.71983329239671,-25.374234806635556
531,382,384,1,-13.834076764251089,-12.814886536361508
532,49,239,0,-24.002659966894978,-23.356045725663094
533,49,262,0,-21.835353763862695,-21.085839407073443
534,45,46,1,-12.31631467835168,-10.79935961206829
535,144,230,0,-18.009237365094325,-16.965439024660917
